Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
229,0,77,33,0,38,2,6,32577652,145476036,166727292,16656,34424984,,7033692,8847948,9781368,6914644,,38255136,35116116,33652284,38452500,,42659604,40927372,40498696,42641620,,3832,3828,3828,5168,,7864676,8756172,10046124,7758012
232,0,78,32,0,39,2,7,32558468,145108612,166383496,16656,34872288,,7028252,9228460,9835152,6466604,,38343692,34736784,33593128,38435008,,42747820,40576120,40439884,42619672,,3832,3828,3828,5168,,7907616,9104548,10077660,7782464
235,0,79,30,0,40,2,9,32658280,145918548,167189724,16656,34024156,,7059672,9270860,9846260,6481488,,38308184,35213916,33579920,38816528,,42712384,41021516,40427456,43028368,,3832,3828,3828,5168,,7936668,8630888,10089708,7366892
238,0,80,31,0,41,2,8,33361916,145204272,166484764,16656,34688932,,7074196,9594200,9876280,6817240,,38292396,34882668,33560820,38468388,,42696632,40690956,40408664,42688512,,3832,3828,3828,5168,,7948996,8969304,10120764,7649868
241,0,81,32,0,42,2,7,31942316,146612992,167858948,16656,33276180,,7114892,9663404,9013860,6150160,,38252200,34821192,34426388,39113212,,42656560,40630428,41257136,43314824,,3832,3828,3828,5168,,7990200,9025368,9257948,7002664
244,0,82,29,0,43,2,10,31699352,146869140,168046156,16656,32988396,,6660816,8768108,9547640,6722788,,38723268,35679808,33857820,38608244,,43113552,41461860,40674060,42796684,,3832,3828,3828,5168,,7556640,8154196,9757084,7520476
247,0,83,27,0,44,2,12,31707952,146327516,167527432,16656,33407720,,7037076,9428504,8819880,6422492,,38293008,35036460,34083472,38914576,,42718716,40819632,40899808,43089276,,3832,3828,3828,5168,,7892580,8745688,9544484,7224968
250,0,84,25,0,45,2,14,32627240,145527452,166720208,16656,34265284,,7134564,9539880,9175996,6776800,,38184360,34913332,33840256,38589504,,42610348,40699104,40642004,42768752,,3832,3828,3828,5168,,7992968,8873976,9835340,7563000
253,0,85,25,0,46,2,14,32771772,145467924,166667260,16656,34508080,,7152692,9566848,9280460,6771772,,38196092,34936124,33712156,38623552,,42624252,40722488,40515940,42804580,,3832,3828,3828,5168,,8015572,8900960,9949596,7641952
256,0,86,24,0,47,2,15,32078996,146521456,167705672,16656,33421828,,6913784,9097260,9702848,6365104,,38334800,35365212,33780916,39040528,,42746824,41164396,40588872,43205580,,3832,3828,3828,5168,,7751280,8473388,9977744,7219416
259,0,87,24,0,48,2,15,32451420,146078360,167280896,16656,33806132,,7096940,8945484,9708620,6700376,,38118808,35521448,33786728,38651376,,42546804,41291756,40594972,42847364,,3832,3828,3828,5168,,7970032,8289088,9985208,7561804
262,0,88,24,0,49,2,15,32103124,146571500,167800260,16656,33464872,,7034604,9331472,8971908,6765140,,38312824,35121948,34545396,38591332,,42764296,40908288,41339992,42787684,,3832,3828,3828,5168,,7863864,8738108,9243844,7619056
265,0,89,25,0,50,2,14,32901988,145756272,167041924,16656,34165016,,7167216,9430124,9529876,6774772,,38155916,35040820,33964072,38595464,,42610916,40864800,40774280,42791928,,3832,3828,3828,5168,,7994920,8818996,9715428,7635672
268,0,90,29,0,51,2,10,32737984,145460192,166789708,16656,34440796,,7197760,9463152,9265640,6811432,,38144608,35018904,33733276,38563404,,42612176,40859176,40558172,42760184,,3832,3828,3828,5168,,8031672,8851228,9887592,7670304
271,0,91,30,0,52,2,9,31982328,145750712,167079996,16656,34115908,,7232920,9013212,9306860,6429336,,38106720,34994704,33712768,38936520,,42574376,40836556,40533684,43135380,,3832,3828,3828,5168,,8066632,8872444,9914980,7261852
274,0,92,29,0,53,2,10,32220856,145910984,167229904,16656,33876616,,7055492,9051832,9340172,6773360,,38238888,35444664,33665740,38561692,,42690864,41271436,40487148,42780456,,3832,3828,3828,5168,,7867084,8453964,9939364,7616204
277,0,93,31,0,54,2,8,32796716,145817848,167148300,16656,33996368,,7192240,9408088,9358524,6837864,,38100096,35064648,34149436,38503668,,42567936,40907500,40950200,42722664,,3832,3828,3828,5168,,8008716,8792648,9515236,7679768
280,0,94,30,0,55,2,9,33285624,145283132,166659676,16656,34477832,,7227224,9488696,9693644,6876060,,38104144,34956344,33778912,38443732,,42574256,40815396,40591472,42678552,,3832,3828,3828,5168,,8044752,8883740,9826212,7723128
283,0,95,32,0,56,2,7,32995908,145079608,166471180,16656,34657116,,7265236,9515740,9308512,6906420,,38059792,34943904,33659276,38416636,,42538816,40803772,40477044,42651548,,3832,3828,3828,5168,,8081852,8908576,9917524,7749164
286,0,96,34,0,57,2,5,32633500,144965972,166369532,16656,34779456,,7293160,9551844,9339416,6449080,,37996612,34906980,33658736,38403644,,42486856,40767384,40478104,42637188,,3832,3828,3828,5168,,8112972,8940632,9953616,7772236
289,1,97,34,0,58,2,5,31881048,146265064,167633804,16656,33631836,,6767844,9571156,9054176,6487872,,38577444,34879896,34443372,38364352,,43052548,40740896,41242632,42597728,,3832,3828,3828,5168,,7690588,8958360,9177396,7805492
292,1,98,30,0,59,2,9,32527024,145553624,166943368,16656,34222780,,6806800,9585328,9627484,6507412,,38508876,34869308,33851764,38323676,,42984252,40730756,40655516,42572844,,3832,3828,3828,5168,,7681340,8976156,9732080,7833204
295,1,99,32,0,60,2,7,33041288,144983932,166405740,16656,34715208,,7112800,9642944,9748520,6537024,,38195472,34781436,33706560,38300464,,42671248,40658928,40528764,42546800,,3832,3828,3828,5168,,7984524,9024756,9850808,7855120
