Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
72,52,72,0,51870936,12930392,,10121544,12635196,9391828,9305700,10416668,,3690280,1705064,1947996,2003220,3583832
73,76,73,0,52406524,12356624,,10170152,13013348,9491544,9310572,10420908,,3622124,1334308,1844476,1981956,3573760
74,88,74,0,53085604,11691488,,10639496,13110884,9492708,9313896,10528620,,3164756,1246512,1840592,1982032,3457596
75,27,75,0,53304948,11410992,,10640284,13101484,9493072,9367252,10702856,,3158764,1225172,1836568,1907008,3283480
76,7,76,0,53562708,11168792,,10643468,13188532,9495408,9484268,10751032,,3159252,1148984,1832772,1793384,3234400
77,46,77,0,54284648,10417952,,10643588,13451044,9560684,9711256,10918076,,3160208,886712,1740740,1565828,3064464
78,39,78,0,54844272,9974636,,10711488,13565776,9809796,9832996,10924216,,3204840,773176,1498284,1436428,3061908
79,100,79,0,55666448,9133768,,11158664,13616816,10011232,9832632,11047104,,2765488,721232,1292060,1430316,2924672
80,47,80,0,55941876,8831872,,11156440,13681052,10002780,9834248,11267356,,2766268,640752,1291108,1424520,2709224
81,32,81,0,56306364,8439460,,11217416,13886960,10002580,9833912,11365496,,2682208,438988,1293636,1419372,2605256
82,42,82,0,56939192,7819752,,11522892,14034072,10003112,9927940,11451176,,2381148,317088,1290628,1310932,2519956
83,22,83,0,57354712,7375964,,11614940,14069164,10093504,10127664,11449440,,2289896,260492,1190540,1112668,2522368
84,29,84,0,57884660,6979648,,11673152,14197744,10296816,10260700,11456248,,2240436,264508,983764,971052,2519888
85,40,85,0,58393040,6553280,,11673900,14404236,10517248,10355972,11441684,,2237384,167160,741184,878968,2528584
86,7,86,0,58609604,6365752,,11734392,14410064,10673196,10352012,11439940,,2158320,198948,590672,883804,2534008
87,22,87,0,59134332,5817432,,11933416,14448888,10850304,10460932,11440792,,1952252,177472,394024,760496,2533188
88,53,88,0,59959276,5093000,,12169692,14434036,11037740,10768768,11549040,,1747432,226552,255940,457012,2406064
89,21,89,0,60291712,4849480,,12201304,14443212,11121596,10838820,11686780,,1702792,222148,272212,378616,2273712
90,51,90,0,60864548,4485116,,12199868,14437364,11394044,10972936,11860336,,1699016,222144,235872,224776,2103308
91,34,91,0,61354780,4203032,,12194280,14435528,11496044,11179396,12049532,,1706488,220872,184948,189424,1901300
92,14,92,0,61762892,4020084,,12270684,14438092,11585716,11270232,12198168,,1624788,220960,206240,214520,1753576
93,22,93,0,62171988,3714628,,12450192,14504560,11581932,11354536,12280768,,1436784,162984,210576,236472,1667812
94,33,94,0,62658540,3302508,,12601720,14582084,11573280,11386320,12515136,,1286972,155336,222332,202436,1435432
95,43,95,0,63147764,2982920,,12711508,14656752,11589800,11390892,12798812,,1181044,156308,261820,240468,1143280
96,88,95,0,63137836,2647192,,12778948,14385124,11580208,11391472,13002084,,1090744,148692,244060,226552,937144
97,22,96,0,63534700,2415872,,12985152,14458600,11681436,11399724,13009788,,891972,187608,175012,226636,934644
98,37,98,0,64150080,2180580,,13128004,14648544,11870168,11499536,13003828,,736140,149592,186156,177632,931060
99,48,99,0,64964072,2120164,,13220916,14347388,12502156,11901988,12991624,,657908,152912,182460,182244,944640
100,21,100,0,65365964,2055084,,13225488,14560840,12555180,11909504,13114952,,650044,158308,181356,255028,810348
101,8,101,0,65666124,1896272,,13302584,14651184,12611332,11899396,13201628,,550856,154660,203460,266812,720484
102,21,102,0,66117124,1359776,,13492828,14292012,12577936,12243304,13511044,,384404,176072,199400,183372,416528
103,117,102,0,66903644,1427556,,13737400,14637160,12578564,12439076,13511444,,346008,183396,257924,227024,413204
104,18,103,0,67122972,1203632,,13730804,14693312,12582980,12447684,13668192,,336896,153004,249516,224112,240104
105,44,104,0,67720624,3193088,,13740168,14351936,11930724,13403532,14294264,,342492,191812,2329136,171208,158440
106,1,104,1,58782536,13369680,,14228356,1877512,13991044,14392684,14292940,,181420,12671328,200200,158072,158660
107,330,106,0,60128836,12748300,,14512740,2514420,14500760,14341244,14259672,,157116,12024184,207068,186508,173424
