Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
63,517,61,1.05398e+08,56,3,0,0,9127404,28430976,,876432,655568,3137032,1530980,2927392,,3406964,4595608,6400600,9099968,4927836
64,527,59,1.13265e+08,58,3,0,0,9127296,28404436,,876424,655424,3137064,1530980,2927404,,3406540,4638216,6362172,9093636,4903872
65,540,67,1.02125e+08,59,3,0,0,9127464,28407596,,876512,655444,3137072,1530980,2927456,,3383736,4653932,6362488,9080416,4927024
66,549,66,1.19233e+08,62,3,0,0,9127972,28370408,,876984,655440,3137112,1530980,2927456,,3397480,4629276,6336480,9077764,4929408
67,563,69,1.0063e+08,65,2,0,0,9128020,28399916,,876980,655512,3137092,1530976,2927460,,3385776,4635112,6362792,9080248,4935988
68,578,76,9.6308e+07,66,2,0,0,9128564,28294284,,877064,655708,3137184,1531056,2927552,,3365536,4587516,6334748,9076888,4929596
69,591,75,8.61189e+07,66,2,0,0,9128552,28330192,,877064,655700,3137156,1531056,2927576,,3366412,4603428,6357608,9077592,4925152
70,603,75,9.98076e+07,66,2,0,0,9128624,28351324,,877068,655700,3137152,1531124,2927580,,3367012,4621868,6373632,9062432,4926380
71,622,68,8.48823e+07,67,1,0,0,9129084,28279280,,877128,655788,3137312,1531268,2927588,,3376732,4593004,6351316,9033016,4925212
72,637,78,8.41128e+07,68,2,0,0,9129060,28215388,,877152,655724,3137288,1531188,2927708,,3380656,4616924,6319588,9042548,4855672
73,655,80,9.34001e+07,68,3,0,0,9129268,28319536,,877140,655916,3137316,1531228,2927668,,3384420,4614308,6356972,9060176,4903660
74,669,86,9.82383e+07,71,2,0,0,9129640,28214560,,877440,655908,3137328,1531276,2927688,,3327740,4612136,6360560,9032592,4881532
75,679,91,9.56538e+07,72,3,0,0,9130116,28188536,,877680,656048,3137304,1531344,2927740,,3365296,4566164,6360656,9030512,4865908
76,695,84,1.05082e+08,72,2,0,0,9130180,28249672,,877736,656004,3137300,1531344,2927796,,3356352,4605000,6364888,9035792,4887640
