Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
179,1149,59,1.99073e+09,130,20,0,8,9888492,7070632,,590320,4908084,1650476,1363512,1376100,,2537596,763272,1087256,1431956,1250552
180,1157,44,1.21807e+09,130,20,0,8,9900156,6888144,,592044,4924020,1650584,1363516,1369992,,2555628,596196,1064756,1420472,1251092
181,1164,43,1.06968e+09,130,20,0,8,10028668,7211728,,730280,4948268,1650692,1329440,1369988,,2538488,886272,1067040,1466364,1253564
182,1171,46,1.40151e+09,130,20,0,8,9891836,7050112,,590812,4950524,1650836,1329680,1369984,,2645312,604760,1068796,1476848,1254396
183,1177,43,1.194e+09,132,18,0,8,9897424,6754564,,555060,4990732,1650836,1330760,1370036,,2428112,529616,1068200,1471080,1257556
184,1184,44,1.39923e+09,131,18,0,9,9893260,6907240,,549272,4991080,1650844,1331964,1370100,,2624372,508680,1060544,1468540,1245104
185,1191,46,1.55455e+09,132,17,0,9,9919152,7102604,,569400,4996688,1650944,1331956,1370164,,2502052,807768,1072172,1471456,1249156
186,1197,44,1.47516e+09,131,17,0,10,10104544,7195444,,754592,4996724,1650948,1332032,1370248,,2293600,1111180,1072192,1466904,1251568
187,1204,42,1.08488e+09,131,17,0,10,10052164,7431596,,701576,4997264,1650956,1332096,1370272,,2511556,1150820,1072728,1471116,1225376
188,1211,53,1.53264e+09,131,17,0,10,10037140,7430584,,682264,4999376,1650956,1333484,1371060,,2529064,1141620,1063268,1450864,1245768
189,1218,40,1.13648e+09,131,17,0,10,9976292,7559920,,611820,4999388,1650968,1342996,1371120,,2664144,1145868,1070648,1432772,1246488
190,1225,43,1.49783e+09,131,17,0,10,9985268,7513440,,609936,5010240,1650972,1342992,1371128,,2613080,1134044,1075600,1445412,1245304
191,1232,39,1.39771e+09,131,17,0,10,10104480,7482436,,728724,5010552,1651040,1343040,1371124,,2572228,1142312,1069848,1448708,1249340
192,1239,38,1.32377e+09,131,17,0,10,9971948,7290644,,595648,5011096,1651040,1343040,1371124,,2380848,1139580,1073244,1447228,1249744
193,1246,38,1.4913e+09,131,17,0,10,10062160,7513500,,685632,5011192,1651128,1343044,1371164,,2606572,1138852,1080732,1439572,1247772
194,1253,38,9.93824e+08,131,17,0,10,10126844,7547668,,750132,5011376,1651136,1343044,1371156,,2629236,1135408,1082164,1451420,1249440
195,1260,38,1.18362e+09,131,17,0,10,10019172,7719064,,641676,5012116,1651136,1343044,1371200,,2791548,1141948,1082704,1454564,1248300
196,1267,41,1.34005e+09,131,17,0,10,9991952,7546100,,613696,5012172,1651128,1343628,1371328,,2659700,1139496,1070400,1431884,1244620
