Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
83,1,39,37,2,0,0,0,8102660,85118876,120698600,20960,42383388,,2113540,2000772,2040240,1948108,,20922808,21521880,21473144,21201044,,30092380,30189280,30140864,30276076,,5240,5240,5240,5240,,10877488,10361748,10398564,10745588
85,1,40,38,2,0,0,0,8379212,84822036,120402612,20960,42629564,,2145016,2085992,2059268,2088936,,20888496,21441468,21482156,21009916,,30058136,30109252,30149932,30085292,,5240,5240,5240,5240,,10908472,10445612,10422796,10852684
88,0,41,39,2,0,0,0,8605108,84617664,120198884,20960,42829784,,2165924,2108092,2085368,2245724,,20874804,21425848,21457432,20859580,,30044456,30093668,30125236,29935524,,5240,5240,5240,5240,,10929120,10472784,10447856,10980024
90,0,42,40,2,0,0,0,8831236,84372832,119954688,20960,43012004,,2198640,2133316,2222764,2276516,,20847336,21399596,21285160,20840740,,30017024,30067460,29953288,29916916,,5240,5240,5240,5240,,10960564,10498408,10542888,11010144
92,0,43,41,2,0,0,0,9039160,84168248,119750656,20960,43200148,,2224528,2236832,2270912,2306888,,20818788,21292328,21245104,20812028,,29988504,29960472,29913432,29888248,,5240,5240,5240,5240,,10986324,10568432,10599376,11046016
94,0,44,42,2,0,0,0,9192212,84029012,119612008,20960,43345240,,2262700,2320568,2286236,2322708,,20778380,21202068,21248980,20799584,,29948272,29870536,29917352,29875848,,5240,5240,5240,5240,,11012244,10651200,10619948,11061848
96,1,45,43,2,0,0,0,9495344,83702856,119286608,20960,43596464,,2408416,2405808,2322160,2358960,,20573272,21123592,21229456,20776536,,29743596,29792312,29897872,29852828,,5240,5240,5240,5240,,11135132,10707704,10655684,11097944
98,1,46,44,2,0,0,0,9782708,83384076,118968680,20960,43854620,,2433056,2508228,2345684,2495740,,20558128,21024272,21194712,20606964,,29728512,29693352,29863188,29683628,,5240,5240,5240,5240,,11164964,10809684,10679344,11200628
101,0,47,45,2,0,0,0,10005608,83142276,118727432,20960,44045612,,2459772,2528556,2486812,2530468,,20541824,21009468,21014000,20576984,,29712240,29678584,29682760,29653848,,5240,5240,5240,5240,,11191368,10835448,10778384,11240412
103,0,48,46,2,0,0,0,10145380,83006484,118592148,20960,44182160,,2501320,2554280,2541276,2548504,,20490764,20984480,20973584,20557656,,29661312,29653636,29642660,29634540,,5240,5240,5240,5240,,11222360,10860956,10840256,11258588
105,0,49,47,2,0,0,0,10413160,82678440,118264828,20960,44398912,,2639480,2640704,2560944,2572032,,20327040,20841608,20960092,20549700,,29498012,29510964,29629228,29626624,,5240,5240,5240,5240,,11337020,10914036,10865908,11281948
107,0,50,48,2,0,0,0,10722072,82318160,117905420,20960,44680224,,2666524,2740996,2597212,2717340,,20311788,20714864,20921052,20370456,,29482856,29384608,29590232,29447724,,5240,5240,5240,5240,,11369672,11014204,10901856,11394492
109,0,51,49,2,0,0,0,10933976,82117676,117705656,20960,44858880,,2695720,2757928,2720524,2759804,,20291920,20734652,20760388,20330716,,29463040,29404476,29429896,29408244,,5240,5240,5240,5240,,11398872,11036244,10988428,11435336
111,1,52,50,2,0,0,0,11070060,81991840,117580288,20960,44990372,,2730632,2783916,2780040,2775472,,20249748,20722596,20698192,20321304,,29420996,29392420,29367996,29398876,,5240,5240,5240,5240,,11421448,11062040,11050676,11456208
114,0,53,51,2,0,0,0,11393980,81653992,117243264,20960,45255456,,2879364,2809940,2898132,2806544,,20068016,20700412,20587184,20298380,,29239672,29370304,29257288,29376000,,5240,5240,5240,5240,,11548720,11087852,11131080,11487804
