Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,5,Free,0,1,2,3,4,5
63,71,0,0,110050332,167052452,,17206760,18230516,17939820,18612628,17921332,20139276,,28497944,28227328,28604028,27227892,28722324,25772936
64,31,0,0,110043972,166988408,,17013688,18225688,17931904,18622240,17913192,20337260,,28617820,28222760,28593952,27223644,28731772,25598460
65,4,0,0,110150916,166854900,,17096716,18225768,17935012,18629568,17911628,20352224,,28522112,28225796,28587016,27222520,28720208,25577248
66,135,0,0,109969980,166995928,,17016148,18226528,17935112,18628616,17919656,20243920,,28579288,28250888,28593536,27203388,28725324,25643504
67,49,0,0,110142268,166868484,,17009436,18225952,17938200,18630196,17915788,20422696,,28564760,28232924,28599488,27220184,28731236,25519892
68,4,0,0,110222172,166819016,,17135908,18228948,17931992,18638424,17918908,20367992,,28501600,28231876,28601924,27214684,28724024,25544908
69,125,0,0,110022112,166923528,,16964340,18226988,17935280,18632652,17923328,20339524,,28611868,28246212,28559848,27213432,28726676,25565492
70,59,0,0,110253352,166687912,,17107204,18230936,17962700,18635648,17919524,20397340,,28482912,28229756,28539960,27197544,28723912,25513828
71,3,0,0,110275372,166783968,,17136028,18241036,17937768,18640168,17931504,20388868,,28480088,28239732,28593852,27215756,28726584,25527956
72,154,0,0,110124360,166776204,,17058864,18235476,17939160,18636780,17924680,20329400,,28522612,28217056,28573088,27198548,28715440,25549460
73,140,0,0,110082376,166913516,,16984204,18235580,17933552,18637252,17932196,20359592,,28632024,28210328,28603312,27210944,28719600,25537308
74,4,0,0,110215328,166714464,,17116364,18235592,17937820,18637316,17929656,20358580,,28474100,28211388,28596156,27215708,28705152,25511960
75,5,0,0,110094752,166836616,,17127748,18239300,17954652,18643196,17931960,20197896,,28453912,28221620,28579640,27198760,28708244,25674440
76,213,0,0,110031744,166967324,,16971796,18238600,17947652,18648720,17931788,20293188,,28568040,28233160,28594048,27200216,28719648,25652212
77,4,0,0,110172660,166771264,,17071324,18240160,17941572,18647776,17930200,20341628,,28500212,28219412,28598300,27196984,28726376,25529980
78,4,0,0,110250152,166654172,,17154568,18235920,17940280,18655104,17929820,20334460,,28395488,28222888,28584964,27193312,28703276,25554244
79,213,0,0,109984220,166949776,,17017520,18244216,17944232,18654680,17931596,20191976,,28542436,28226556,28603524,27206696,28713372,25657192
80,124,0,0,110128284,166684944,,16992304,18240820,17942644,18659164,17932024,20361328,,28493248,28211788,28584836,27183796,28713180,25498096
81,3,0,0,110296472,166610556,,17180208,18244132,17940564,18668188,17931000,20332380,,28390980,28228356,28585676,27186588,28718592,25500364
82,169,0,0,110085468,166781952,,17027364,18247624,17943140,18658672,17935124,20273544,,28511848,28200244,28578316,27198608,28706164,25586772
83,244,0,0,110187776,166664384,,17051508,18245908,17946576,18658660,17935700,20349424,,28486736,28227128,28578236,27172892,28723540,25475852
