Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
81,0,43,0,0,94040820,8916720,,24870500,19418464,24011348,25740508,,3785756,3342656,1451916,336392
82,1,43,0,0,94867928,8197876,,26151196,21028348,24969272,22719112,,2484568,1736308,284560,3692440
83,0,43,0,0,96507580,6840048,,28172876,22450032,22335808,23548864,,477108,355264,3149360,2858316
84,1,41,1,0,93587960,9668376,,25494820,19313152,24199976,24580012,,3096196,3460564,1270904,1840712
85,0,43,0,0,91725328,8305952,,27086800,20742140,18192568,25703820,,1505748,2025696,4062796,711712
86,0,42,0,0,93536364,7003744,,24551028,21878856,19692872,27413608,,3951788,244228,2560168,247560
87,0,41,0,0,96034616,6526956,,25920852,22396304,21705476,26011984,,2577728,3179388,539280,230560
88,1,42,0,0,89861020,8715572,,27573252,24288508,16494752,21504508,,940932,1278956,3221900,3273784
89,0,43,0,0,87469412,11891224,,25857532,21556160,17973352,22082368,,3471676,3974308,1751884,2693356
90,1,41,0,0,96033164,6373428,,27498488,22972216,22515972,23046488,,1839380,2543584,253960,1736504
91,0,42,0,0,97064548,4787640,,28934264,23660396,20571140,23898748,,262324,244844,3414440,866032
92,0,41,0,0,92276720,9157496,,25866884,19543692,22186540,24679604,,3557904,3552528,1802392,244672
93,0,44,0,0,94152372,7993924,,27286716,21224940,20887328,24753388,,2131356,1873656,3745664,243248
94,0,45,0,0,91877956,13270644,,25000108,20637480,22259880,23980488,,4050128,3705832,2388588,3126096
95,0,43,0,0,97176260,12081408,,26030656,21834460,24638444,24672700,,3032768,2527744,4073632,2447264
96,0,42,0,0,102005020,7215136,,27452580,23194928,25744660,25612852,,1607672,1165552,2950472,1491440
97,1,43,0,0,104211572,5833604,,28606152,21469388,27908880,26227152,,236444,3913764,818952,864444
98,0,42,0,0,100404432,10005860,,26337808,22718572,24555488,26792564,,3260936,2675264,3694288,375372
99,0,42,0,0,104640976,4233080,,27977680,24485016,26812128,25366152,,1614572,901908,1438660,277940
100,0,44,0,0,103510912,11226120,,25915468,25482504,26550352,25562588,,3784628,3377640,3795872,267980
101,0,42,0,0,108763456,7336072,,26990032,26865588,28044856,26862980,,2728816,1997584,2307920,301752
102,0,42,0,0,113241476,4598872,,28599540,30731884,29804980,24105072,,1104084,266696,534500,2693592
103,0,43,0,0,103908772,14132556,,25976756,27312420,25800412,24819184,,3797924,3819208,4522064,1993360
104,1,42,0,0,109783060,8252532,,27754744,29260036,27492504,25275776,,2018416,1868740,2834108,1531268
105,0,42,0,0,112098480,3372408,,29113288,28351528,28960140,25673524,,646488,250600,1368508,1106812
106,1,41,0,0,102152568,10873184,,25822992,24934184,25179372,26216020,,3915092,2389312,3991868,576912
107,0,40,0,0,103302772,6516412,,26946336,26510632,26516912,23328892,,2794424,816932,2659624,245432
108,1,41,0,0,100338760,9761080,,28222216,23791692,27896556,20428296,,1516228,3497968,1276688,3470196
109,0,42,0,0,97677908,13561780,,25613496,25356136,24964952,21743324,,4053428,1933160,4168280,3406912
110,0,40,0,0,101337044,8042168,,27841296,25172752,26032788,22290208,,1831564,249784,3091460,2869360
111,1,40,0,0,104358008,7010488,,29326428,24257496,27719160,23054924,,258636,3223796,1415096,2112960
112,0,42,0,0,98533508,9674924,,27418664,25794592,21408292,23911960,,2917164,1685324,3816096,1256340
113,2,41,0,0,94711340,7535056,,29220776,21757916,22241040,21491608,,236940,4008528,3011172,278416
114,0,41,0,0,96103048,7842952,,26063080,23018876,23926328,23094764,,3509512,2737728,1328348,267364
115,0,42,0,0,93801976,6507620,,27335196,24480888,22686668,19299224,,2243984,1289448,251752,2722436
116,1,41,0,0,95803968,6801712,,28020104,25453216,21993856,20336792,,1561060,262220,3302672,1675760
117,0,41,0,0,93424152,6880552,,29266332,19998524,23268832,20890464,,242416,3477040,2034556,1126540
118,1,42,0,0,93850364,6416780,,26246888,21193408,25070592,21339476,,3143424,2269752,293048,710556
119,1,42,0,0,91553792,6870660,,27717080,22276064,19598036,21962612,,1661368,1205648,3733628,270016
120,0,42,0,0,92547420,6199164,,29205064,21996176,20786184,20559996,,240648,272956,2554224,3131336
121,5,42,0,0,84163332,8842776,,26044964,17003608,17672504,23442256,,2497188,2136352,3973212,236024
122,0,41,0,0,89220920,7451580,,27249856,22596564,18700412,20674088,,1291212,226200,2945964,2988204
123,0,40,0,0,87769028,7823340,,28265248,17702340,19644492,22156948,,269332,3964320,2011692,1577996
124,0,40,0,0,87842592,7766212,,24873020,18995500,20579524,23394548,,3705040,2573720,1066412,421040
125,1,41,0,0,89075960,6802720,,26525116,20326308,21787932,20436604,,2051356,1230636,281792,3238936
126,1,44,0,0,88025140,4905668,,28183076,21519620,15337008,22985436,,262740,298616,3661844,682468
127,0,41,0,0,78332080,13381280,,25037544,18539744,16346060,18408732,,3482700,3205680,2645260,4047640
128,0,41,0,0,83734764,7985196,,26155272,20117644,17319056,20142792,,2359708,1638120,1698180,2289188
129,0,43,0,0,90984308,1952356,,27725444,22740972,18657980,21859912,,786740,237892,352196,575528
130,1,44,0,0,78519972,15024476,,24668276,18467400,15528964,19855332,,3801768,3568300,3668688,3985720
131,1,41,0,0,82556044,10999224,,26140952,18763312,16667852,20983928,,2326624,3280244,2535776,2856580
132,0,41,0,0,87061172,6495568,,27813720,19408292,17903392,21935768,,642224,2651248,1310400,1891696
133,1,41,0,0,94002212,3238984,,28271312,20051260,22512584,23167056,,243352,2016176,287700,691756
134,0,41,0,0,93384896,9010196,,25498884,21140436,23143804,23601772,,3056400,914420,3707596,1331780
135,0,41,0,0,97167244,7595104,,26827816,24486436,24129804,21723188,,1730492,256852,2719396,2888364
136,1,41,0,0,95294500,6552128,,28255852,18422108,25013072,23603468,,310956,3408496,1829452,1003224
137,0,42,0,0,94764864,7385740,,24537920,19460864,26078288,24687792,,3977204,2369392,798312,240832
138,1,42,0,0,95856224,4758812,,25924112,20127896,25736012,24068204,,2544736,1686384,272620,255072
139,4,43,0,0,95268764,5432940,,27942548,22018128,23790476,21517612,,507868,242320,2441824,2240928
140,0,43,0,0,94268736,7100204,,25198012,21390764,25444456,22235504,,2752276,1996736,803844,1547348
141,1,41,0,0,94007008,7206328,,24695856,20194052,25857872,23259228,,3172676,3174160,256852,602640
142,0,43,0,0,94773512,7875400,,25864616,21260328,22696024,24952544,,2021952,2112200,3501352,239896
143,1,42,0,0,95466884,8163132,,27273472,22222148,23157216,22814048,,606808,1160556,3027680,3368088
144,2,42,0,0,93995876,8058004,,25356168,21432172,23786140,23421396,,2639244,258468,2399548,2760744
145,0,43,0,0,96998180,5006948,,27053248,21342416,24413356,24189160,,958948,285184,1771588,1991228
146,1,41,0,0,94817544,9191632,,25122340,19823584,25147868,24723752,,3732280,2970852,1030364,1458136
147,0,43,0,0,99100156,4827260,,27020160,20942544,25794588,25342864,,1842172,1821612,297148,866328
148,1,44,0,0,101396400,1300252,,28493628,22468868,24547876,25886028,,379056,342200,262600,316396
149,0,43,0,0,92698800,10053296,,25649424,20118252,21220824,25710300,,3149000,3057996,3607864,238436
150,0,42,0,0,92886336,8694372,,27549476,21383192,22680352,21273316,,1249964,1781000,2138032,3525376
151,0,42,0,0,94933152,7164636,,25624120,22654244,24181348,22473440,,3658472,526200,653012,2326952
152,0,42,0,0,91532072,10949960,,27031276,19228004,21222868,24049924,,2257960,3877460,4064904,749636
153,0,43,0,0,96359056,6433624,,28516856,20735676,22295780,24810744,,781964,2375840,3003452,272368
154,1,44,0,0,91815520,9863784,,25523720,22369724,23519960,20402116,,3751976,736244,1784720,3590844
155,0,42,0,0,92246080,8845580,,26451520,18973076,25017388,21804096,,2824004,3557096,280072,2184408
156,0,42,0,0,92061852,9599848,,27597440,19879000,22152972,22432440,,1675588,2668308,3697176,1558776
157,0,41,0,0,96959376,4837768,,28901428,21353512,23036308,23668128,,369808,1184088,2813988,469884
158,0,41,0,0,93851540,6443152,,25296188,20409840,24075812,24069700,,4134724,251644,1769664,287120
159,0,39,0,0,89876960,10916780,,25844812,17369240,24861648,21801260,,3580176,3602348,981204,2753052
160,0,38,0,0,93012976,7683100,,26384856,18307148,25478496,22842476,,3029016,2689936,259704,1704444
161,0,39,0,0,94260008,7183200,,27334188,19821112,22017788,25086920,,2064024,1164608,3707560,247008
162,0,40,0,0,94468864,7126024,,28895824,20573928,22922024,22077088,,504636,270696,2854900,3495792
163,1,38,0,0,90503956,11334232,,25703716,17350092,24007980,23442168,,4047708,3386856,1765920,2133748
164,0,38,0,0,95201444,6677352,,26620756,18823164,24970044,24787480,,3112260,1895332,796996,872764
165,1,39,0,0,96182096,3058768,,27713072,20234184,23875388,24359452,,2027972,524976,239484,266336
166,1,39,0,0,90843960,12165416,,28699316,18444660,20443488,23256496,,1038288,3936604,3744612,3445912
167,0,38,0,0,94388536,8413208,,29225220,19913196,21155956,24094164,,277692,2468152,3050316,2617048
168,1,38,0,0,94135716,8203424,,25228284,21485292,22156576,25265564,,3816472,914504,2048488,1423960
169,0,38,0,0,89810144,8498104,,26131428,15659764,22972912,25046040,,2915240,4109280,1222060,251524
170,1,38,0,0,94197416,5524948,,27398728,16729456,23627808,26441424,,1650456,3042020,576776,255696
171,0,39,0,0,95518220,6458484,,28350568,17361748,25408024,24397880,,712592,2414696,247964,3083232
172,0,38,0,0,94550408,7182288,,28701228,18315512,22065992,25467676,,276384,1448328,3437392,2020184
173,0,37,0,0,94140968,7764612,,25379240,19504916,22917396,26339416,,3673040,324720,2609708,1157144
174,0,38,0,0,94363116,7900292,,26819968,17552264,24054108,25936776,,2225024,3953500,1462768,259000
175,0,38,0,0,93146952,9234684,,28168952,17868988,24688188,22420824,,855020,3630668,818284,3930712
176,1,39,0,0,95403544,6508912,,28263832,18637440,25278812,23223460,,251552,2879872,272704,3104784
