Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
85,3,85,0,0,24349040,88591272,,4285328,4450472,7652112,7961128,,25434252,24145020,19687988,19324012
86,7,86,0,0,24360092,88571276,,4285168,4468372,7647332,7959220,,25443692,24101352,19684960,19341272
87,2,87,0,0,24357148,88545060,,4271268,4465068,7647624,7973188,,25448164,24088648,19691600,19316648
88,10,88,0,0,24378996,88510788,,4271012,4468780,7665360,7973844,,25449904,24110032,19648352,19302500
89,3,89,0,0,24431424,88428544,,4298412,4472064,7680060,7980888,,25413952,24095868,19628924,19289800
90,3,90,0,0,24425336,88464512,,4284740,4483292,7675516,7981788,,25410800,24096740,19641072,19315900
91,4,91,0,0,24447216,88423024,,4287748,4484172,7692996,7982300,,25436484,24075448,19623560,19287532
92,3,92,0,0,24458320,88416944,,4288500,4486480,7679968,8003372,,25432444,24073264,19636152,19275084
93,2,93,0,0,24471596,88412068,,4303740,4484608,7679084,8004164,,25423492,24075356,19650664,19262556
94,4,94,0,0,24508040,88359820,,4299068,4499108,7699872,8009992,,25421196,24070568,19607916,19260140
95,3,95,0,0,24483676,88398184,,4298940,4501844,7682088,8000804,,25420248,24062936,19643356,19271644
96,2,96,0,0,24498468,88341756,,4298264,4505184,7681092,8013928,,25403608,24051628,19625208,19261312
97,6,97,0,0,24515444,88336248,,4316420,4501768,7690776,8006480,,25391604,24067324,19627140,19250180
98,2,98,0,0,24537280,88327320,,4315820,4524948,7693240,8003272,,25406156,24049216,19619296,19252652
99,2,99,0,0,24570184,88279696,,4335064,4510532,7720512,8004076,,25373724,24056756,19582132,19267084
100,2,100,0,0,24548068,88310096,,4316724,4506360,7707264,8017720,,25395212,24065332,19592512,19257040
101,8,101,0,0,24588604,88245124,,4328964,4507696,7730608,8021336,,25367644,24072552,19577896,19227032
102,3,102,0,0,24604436,88196064,,4338040,4517324,7726456,8022616,,25357380,24035064,19574816,19228804
103,3,103,0,0,24610868,88220732,,4328452,4518108,7739196,8025112,,25376128,24050832,19552232,19241540
104,2,104,0,0,24618548,88197012,,4326328,4518052,7740804,8033364,,25380236,24047304,19545000,19224472
105,3,105,0,0,24652724,88160656,,4349376,4527472,7741908,8033968,,25348144,24034028,19555320,19223164
106,3,106,0,0,24655700,88166716,,4341080,4540684,7735924,8038012,,25355484,24019336,19567512,19224384
107,3,107,0,0,24659976,88163500,,4341828,4524376,7754160,8039612,,25349044,24046488,19545708,19222260
108,3,108,0,0,24682916,88143732,,4361108,4525692,7755380,8040736,,25343740,24032916,19529984,19237092
109,3,109,0,0,24678352,88126692,,4351060,4526000,7754516,8046776,,25349808,24033600,19532444,19210840
110,3,110,0,0,24711500,88073668,,4350436,4552340,7763128,8045596,,25335216,24006056,19531508,19200888
111,6,111,0,0,24716296,88092708,,4351680,4541072,7754672,8068872,,25343884,24022340,19535620,19190864
112,3,112,0,0,24716660,88017336,,4346688,4542396,7773220,8054356,,25328412,24010420,19502268,19176236
113,2,113,0,0,24759456,88072584,,4383892,4542160,7775308,8058096,,25324884,24021672,19526492,19199536
114,3,114,0,0,24765764,88028448,,4361676,4566280,7779704,8058104,,25332068,23984816,19522812,19188752
115,2,115,0,0,24788612,87995828,,4360888,4560252,7810520,8056952,,25337272,23999976,19471968,19186612
116,3,116,0,0,24801744,87994600,,4362204,4552516,7817796,8069228,,25335320,23998720,19489312,19171248
117,3,117,0,0,24840560,87945944,,4387164,4554352,7828176,8070868,,25313556,23995028,19455876,19181484
118,3,118,0,0,24840336,87935624,,4367832,4573444,7816452,8082608,,25317716,23961328,19475452,19181128
119,3,119,0,0,24847120,87904104,,4373656,4564704,7832252,8076508,,25311348,23995144,19442384,19155228
120,2,120,0,0,24875356,87854532,,4373372,4571668,7831632,8098684,,25302616,23975064,19441704,19135148
121,2,121,0,0,24895888,87826596,,4395356,4568164,7835808,8096560,,25276820,23977108,19438856,19133812
122,3,122,0,0,24920596,87811880,,4385628,4580628,7852444,8101896,,25295196,23966380,19415640,19134664
