Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
112,0,41,0,0,80208648,39529932,,17553104,19330660,21747196,21577688,,13035864,10197688,7770236,8526144
113,0,41,0,0,80591732,39135008,,17555240,19539244,21788796,21708452,,13027600,9986256,7718300,8402852
114,1,41,0,0,80802416,38879252,,17657864,19642564,21792448,21709540,,12926600,9871536,7697164,8383952
115,0,41,0,0,80950668,38742692,,17761464,19684392,21794772,21710040,,12816948,9828512,7702836,8394396
116,0,41,0,0,80974556,38753880,,17764804,19687216,21800388,21722148,,12820404,9841880,7696108,8395488
117,0,41,0,0,81061204,38674696,,17864288,19675364,21802700,21718852,,12729812,9870676,7691424,8382784
118,1,41,0,0,81185492,38553340,,17970328,19676124,21814452,21724588,,12617320,9868188,7685732,8382100
119,0,41,0,0,81189984,38533608,,17973492,19670364,21818060,21728068,,12605152,9869568,7688744,8370144
120,0,41,0,0,81290048,38428624,,18073184,19671504,21809644,21735716,,12499880,9862808,7694940,8370996
121,0,41,0,0,81414628,38289452,,18190472,19672164,21810324,21741668,,12388944,9861100,7680476,8358932
122,0,41,0,0,81496492,38244072,,18287048,19670456,21802712,21736276,,12300392,9868628,7715712,8359340
123,0,41,0,0,77868248,41868580,,18390520,19671412,20152672,19653644,,12199168,9859156,9364440,10445816
124,0,38,0,0,78794528,40898168,,18592920,19673388,20379636,20148584,,11991116,9853960,9117336,9935756
125,0,37,0,0,78870496,40836336,,18693816,19275704,20392496,20508480,,11887532,10255392,9101248,9592164
126,0,39,0,0,79176472,40499632,,18695356,19401156,20568460,20511500,,11884536,10105048,8939956,9570092
127,0,41,0,0,79619636,40087696,,19002324,19571588,20569864,20475860,,11572328,9943744,8928784,9642840
128,0,41,0,0,80028764,39677488,,19111532,19669660,20569776,20677796,,11466040,9852784,8922352,9436312
129,0,41,0,0,80160704,39564852,,19111984,19666064,20662292,20720364,,11462512,9861408,8844708,9396224
130,1,41,0,0,80389536,39347880,,19164796,19680804,20668560,20875376,,11425340,9844308,8831468,9246764
131,0,42,0,0,80612256,39070168,,19160536,19691052,20669640,21091028,,11418152,9819808,8823764,9008444
