Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
121,3,0,0,0,114188876,5045688,,29853492,28919884,25588804,29826696,,402812,1753588,2446524,442764
122,3,0,0,0,114116676,5006256,,29829052,28821056,25610804,29855764,,395968,1777636,2424808,407844
123,128,0,0,0,114798940,4398184,,29872488,29173968,25848164,29904320,,359208,1455100,2201472,382404
124,149,26,0,0,114624136,4509660,,29888344,29015728,25841220,29878844,,355368,1568056,2189728,396508
125,3,0,0,0,114619076,4633108,,29863016,29055964,25856016,29844080,,372192,1652828,2178860,429228
126,4,0,0,0,114393620,4755116,,29847252,28942052,25765392,29838924,,396640,1650548,2279016,428912
127,2,0,0,0,114115840,5010496,,29856712,28896256,25532340,29830532,,386096,1676368,2495416,452616
128,17,0,0,0,114384924,4672736,,29853288,29009364,25636452,29885820,,358216,1544960,2383316,386244
129,24,0,0,0,114510024,4623528,,29872836,29009220,25712700,29915268,,340500,1574964,2343504,364560
130,53,0,0,0,114448528,4637724,,29902712,28938284,25700840,29906692,,341208,1626832,2303448,366236
131,3,0,0,0,114480680,4539396,,29880268,28940816,25753476,29906120,,360344,1574188,2237620,367244
132,3,0,0,0,114395480,4627688,,29895080,28993208,25606084,29901108,,347464,1537476,2344928,397820
133,3,0,0,0,114426136,4568780,,29858864,29042872,25634344,29890056,,368320,1513524,2304240,382696
134,65,0,0,0,114695344,4014512,,29859812,29222004,25756896,29856632,,380616,1161140,2070120,402636
135,142,0,0,0,114626352,4665660,,29858436,29065820,25817800,29884296,,370304,1619288,2295088,380980
136,15,26,0,0,114397116,5029032,,29906344,29103964,25487184,29899624,,318852,1682028,2667556,360596
137,33,26,0,0,114364100,4955664,,29920648,28954428,25575548,29913476,,353732,1755320,2526784,319828
138,56,26,0,0,114552852,4712472,,29887528,29048332,25717612,29899380,,352528,1610748,2361544,387652
139,14,0,0,0,114102920,5110420,,29873372,28879408,25471292,29878848,,332384,1802456,2587680,387900
140,12,0,0,0,114185584,5050296,,29871440,28884904,25551752,29877488,,363236,1743548,2539804,403708
141,334,0,0,0,114408280,4824668,,29893436,28980156,25598944,29935744,,342464,1619876,2443964,418364
142,40,0,0,0,114321632,4820500,,29853392,28878140,25625744,29964356,,384584,1685016,2402488,348412
143,57,0,0,0,114507576,4860072,,29869368,29033592,25644316,29960300,,367380,1689240,2405512,397940
144,73,0,0,0,114317088,4979668,,29858128,28816880,25671952,29970128,,366432,1830444,2387304,395488
145,26,0,0,0,114571912,4755484,,29866056,28970968,25726648,30008240,,357964,1679664,2346356,371500
146,110,0,0,0,114848860,4589636,,29895904,29146968,25817388,29988600,,370336,1470572,2357948,390780
147,2,0,0,0,114840764,4601092,,29841272,29122508,25895628,29981356,,412264,1454764,2348672,385392
148,2,0,0,0,114885468,4687692,,29854532,29182508,25874660,29973768,,401652,1423276,2468524,394240
149,3,0,0,0,115003884,4639768,,29836900,29162280,26026116,29978588,,405496,1439088,2407360,387824
150,38,0,0,0,115384576,4476784,,29875468,29202696,26303676,30002736,,361124,1435776,2314864,365020
151,33,0,0,0,115404516,4424408,,29889068,29165692,26353808,29995948,,348268,1462404,2233976,379760
152,3,0,0,0,115337460,4485424,,29900220,29148792,26281636,30006812,,338012,1452636,2334708,360068
153,3,0,0,0,115460560,4409356,,29922728,29185520,26334616,30017696,,344480,1434336,2286232,344308
154,3,0,0,0,115648120,4193520,,29923076,29354612,26362492,30007940,,334068,1252884,2252844,353724
155,57,0,0,0,115583364,4310124,,29922912,29085068,26537120,30038264,,320096,1540720,2098392,350916
156,2,0,0,0,115395196,4358080,,29910076,28936228,26508540,30040352,,341348,1590456,2100020,326256
157,2,0,0,0,115380620,4344560,,29919984,28927908,26519848,30012880,,331140,1622600,2044632,346188
158,2,0,0,0,115238508,4462060,,29897396,28882208,26434864,30024040,,355732,1614508,2151884,339936
159,109,0,0,0,115718904,3952624,,29913776,29095804,26662204,30047120,,329492,1412120,1906892,304120
160,31,0,0,0,115564832,4221120,,29879632,28979232,26676016,30029952,,378568,1615736,1895040,331776
161,2,0,0,0,115293108,4376176,,29879288,28875492,26499808,30038520,,371176,1647544,2031064,326392
162,2,0,0,0,115411856,4277640,,29883848,28881572,26612056,30034380,,358272,1617452,1973608,328308
163,4,0,0,0,115599508,4061588,,29885752,29021164,26638576,30054016,,348552,1469656,1942412,300968
164,30,26,0,0,115668712,3923120,,29890264,29214820,26523580,30040048,,373624,1281252,1956556,311688
165,60,0,0,0,115835524,3790664,,29922568,29316536,26599360,29997060,,336292,1094968,2008232,351172
166,4,0,0,0,115903196,3840724,,29892388,29398888,26605408,30006512,,377192,1103152,2021956,338424
167,102,0,0,0,116231300,3398160,,29911552,29475604,26795272,30048872,,337976,1028512,1716356,315316
168,83,26,0,0,116191316,3471960,,29945920,29469196,26723988,30052212,,315640,1041672,1828844,285804
169,11,26,0,0,116029712,3646108,,29917568,29512588,26590804,30008752,,337540,966452,1997000,345116
170,19,0,0,0,115820468,3842776,,29897060,29299092,26624908,29999408,,361888,1241012,1898204,341672
171,3,0,0,0,116117204,3348732,,29892020,29306948,26866640,30051596,,349976,943504,1764404,290848
172,37,0,0,0,116361480,3251016,,29933824,29584220,26797288,30046148,,299892,886208,1770260,294656
173,59,0,0,0,116508472,3123076,,29909292,29692900,26884148,30022132,,348556,764356,1694040,316124
174,2,0,0,0,116474292,3162944,,29895408,29681696,26848908,30048280,,344568,786548,1702936,328892
175,138,0,0,0,116709704,3225240,,29970736,29642996,27049704,30046268,,267988,813492,1844692,299068
176,21,0,0,0,117010364,3162584,,29915168,29759340,27315020,30020836,,342376,704916,1792124,323168
